date,point,value_MSm3,value_GWh
2024-03-01 12:00:00+00:00,Dornum,57.1,602.405
2024-03-02 12:00:00+00:00,Dornum,56.1,591.855
2024-03-03 12:00:00+00:00,Dornum,55.2,582.36
2024-03-04 12:00:00+00:00,Dornum,56.1,591.855
2024-03-05 12:00:00+00:00,Dornum,50.5,532.775
2024-03-06 12:00:00+00:00,Dornum,52.3,551.765
2024-03-07 12:00:00+00:00,Dornum,51.7,545.435
2024-03-08 12:00:00+00:00,Dornum,55.3,583.415
2024-03-09 12:00:00+00:00,Dornum,57.0,601.35
2024-03-10 12:00:00+00:00,Dornum,55.2,582.36
2024-03-11 12:00:00+00:00,Dornum,47.3,499.015
2024-03-12 12:00:00+00:00,Dornum,48.9,515.895
2024-03-13 12:00:00+00:00,Dornum,45.8,483.19
2024-03-14 12:00:00+00:00,Dornum,47.2,497.96
2024-03-15 12:00:00+00:00,Dornum,48.9,515.895
2024-03-16 12:00:00+00:00,Dornum,46.0,485.3
2024-03-17 12:00:00+00:00,Dornum,49.1,518.005
2024-03-18 12:00:00+00:00,Dornum,48.4,510.62
2024-03-19 12:00:00+00:00,Dornum,43.2,455.76
2024-03-20 12:00:00+00:00,Dornum,46.5,490.575
2024-03-21 12:00:00+00:00,Dornum,43.4,457.87
2024-03-22 12:00:00+00:00,Dornum,45.8,483.19
2024-03-23 12:00:00+00:00,Dornum,50.8,535.94
2024-03-24 12:00:00+00:00,Dornum,55.4,584.47
2024-03-25 12:00:00+00:00,Dornum,49.7,524.335
2024-03-26 12:00:00+00:00,Dornum,55.9,589.745
2024-03-27 12:00:00+00:00,Dornum,55.8,588.69
2024-03-28 12:00:00+00:00,Dornum,53.1,560.205
2024-03-29 12:00:00+00:00,Dornum,53.3,562.315
2024-03-30 12:00:00+00:00,Dornum,51.4,542.27
2024-03-31 11:00:00+00:00,Dornum,52.9,558.095
2024-03-01 12:00:00+00:00,Dunkerque,41.3,435.715
2024-03-02 12:00:00+00:00,Dunkerque,46.8,493.74
2024-03-03 12:00:00+00:00,Dunkerque,45.2,476.86
2024-03-04 12:00:00+00:00,Dunkerque,46.5,490.575
2024-03-05 12:00:00+00:00,Dunkerque,43.2,455.76
2024-03-06 12:00:00+00:00,Dunkerque,43.9,463.145
2024-03-07 12:00:00+00:00,Dunkerque,47.7,503.235
2024-03-08 12:00:00+00:00,Dunkerque,48.5,511.675
2024-03-09 12:00:00+00:00,Dunkerque,46.6,491.63
2024-03-10 12:00:00+00:00,Dunkerque,40.79,430.335
2024-03-11 12:00:00+00:00,Dunkerque,40.2,424.11
2024-03-12 12:00:00+00:00,Dunkerque,47.0,495.85
2024-03-13 12:00:00+00:00,Dunkerque,47.7,503.235
2024-03-14 12:00:00+00:00,Dunkerque,50.2,529.61
2024-03-15 12:00:00+00:00,Dunkerque,47.4,500.07
2024-03-16 12:00:00+00:00,Dunkerque,42.6,449.43
2024-03-17 12:00:00+00:00,Dunkerque,46.2,487.41
2024-03-18 12:00:00+00:00,Dunkerque,45.6,481.08
2024-03-19 12:00:00+00:00,Dunkerque,45.3,477.915
2024-03-20 12:00:00+00:00,Dunkerque,44.9,473.695
2024-03-21 12:00:00+00:00,Dunkerque,39.0,411.45
2024-03-22 12:00:00+00:00,Dunkerque,40.5,427.275
2024-03-23 12:00:00+00:00,Dunkerque,47.3,499.015
2024-03-24 12:00:00+00:00,Dunkerque,43.5,458.925
2024-03-25 12:00:00+00:00,Dunkerque,46.8,493.74
2024-03-26 12:00:00+00:00,Dunkerque,48.0,506.4
2024-03-27 12:00:00+00:00,Dunkerque,48.3,509.565
2024-03-28 12:00:00+00:00,Dunkerque,46.4,489.52
2024-03-29 12:00:00+00:00,Dunkerque,49.6,523.28
2024-03-30 12:00:00+00:00,Dunkerque,47.3,499.015
2024-03-31 11:00:00+00:00,Dunkerque,49.7,524.335
2024-03-01 12:00:00+00:00,Easington,72.7,766.985
2024-03-02 12:00:00+00:00,Easington,72.9,769.095
2024-03-03 12:00:00+00:00,Easington,73.3,773.315
2024-03-04 12:00:00+00:00,Easington,73.4,774.37
2024-03-05 12:00:00+00:00,Easington,72.7,766.985
2024-03-06 12:00:00+00:00,Easington,73.2,772.26
2024-03-07 12:00:00+00:00,Easington,72.09,760.55
2024-03-08 12:00:00+00:00,Easington,73.4,774.37
2024-03-09 12:00:00+00:00,Easington,73.2,772.26
2024-03-10 12:00:00+00:00,Easington,73.3,773.315
2024-03-11 12:00:00+00:00,Easington,71.3,752.215
2024-03-12 12:00:00+00:00,Easington,67.9,716.345
2024-03-13 12:00:00+00:00,Easington,70.5,743.775
2024-03-14 12:00:00+00:00,Easington,71.09,750.0
2024-03-15 12:00:00+00:00,Easington,68.7,724.785
2024-03-16 12:00:00+00:00,Easington,64.2,677.31
2024-03-17 12:00:00+00:00,Easington,60.1,634.055
2024-03-18 12:00:00+00:00,Easington,72.2,761.71
2024-03-19 12:00:00+00:00,Easington,72.5,764.875
2024-03-20 12:00:00+00:00,Easington,73.59,776.375
2024-03-21 12:00:00+00:00,Easington,63.0,664.65
2024-03-22 12:00:00+00:00,Easington,63.5,669.925
2024-03-23 12:00:00+00:00,Easington,73.4,774.37
2024-03-24 12:00:00+00:00,Easington,72.59,765.824
2024-03-25 12:00:00+00:00,Easington,73.5,775.425
2024-03-26 12:00:00+00:00,Easington,70.9,747.995
2024-03-27 12:00:00+00:00,Easington,59.1,623.505
2024-03-28 12:00:00+00:00,Easington,71.7,756.435
2024-03-29 12:00:00+00:00,Easington,67.9,716.345
2024-03-30 12:00:00+00:00,Easington,68.59,723.625
2024-03-31 11:00:00+00:00,Easington,72.09,760.55
2024-03-01 12:00:00+00:00,Emden,90.7,956.885
2024-03-02 12:00:00+00:00,Emden,87.5,923.125
2024-03-03 12:00:00+00:00,Emden,90.6,955.83
2024-03-04 12:00:00+00:00,Emden,91.5,965.325
2024-03-05 12:00:00+00:00,Emden,90.9,958.995
2024-03-06 12:00:00+00:00,Emden,90.9,958.995
2024-03-07 12:00:00+00:00,Emden,91.4,964.27
2024-03-08 12:00:00+00:00,Emden,92.2,972.71
2024-03-09 12:00:00+00:00,Emden,91.1,961.105
2024-03-10 12:00:00+00:00,Emden,87.8,926.29
2024-03-11 12:00:00+00:00,Emden,90.1,950.555
2024-03-12 12:00:00+00:00,Emden,90.5,954.775
2024-03-13 12:00:00+00:00,Emden,88.0,928.4
2024-03-14 12:00:00+00:00,Emden,90.8,957.94
2024-03-15 12:00:00+00:00,Emden,86.2,909.41
2024-03-16 12:00:00+00:00,Emden,83.7,883.035
2024-03-17 12:00:00+00:00,Emden,83.4,879.87
2024-03-18 12:00:00+00:00,Emden,89.5,944.225
2024-03-19 12:00:00+00:00,Emden,90.5,954.775
2024-03-20 12:00:00+00:00,Emden,88.7,935.785
2024-03-21 12:00:00+00:00,Emden,88.0,928.4
2024-03-22 12:00:00+00:00,Emden,88.5,933.675
2024-03-23 12:00:00+00:00,Emden,91.3,963.215
2024-03-24 12:00:00+00:00,Emden,91.6,966.38
2024-03-25 12:00:00+00:00,Emden,91.1,961.105
2024-03-26 12:00:00+00:00,Emden,90.3,952.665
2024-03-27 12:00:00+00:00,Emden,90.5,954.775
2024-03-28 12:00:00+00:00,Emden,90.5,954.775
2024-03-29 12:00:00+00:00,Emden,90.1,950.555
2024-03-30 12:00:00+00:00,Emden,85.8,905.19
2024-03-31 11:00:00+00:00,Emden,89.6,945.28
2024-03-01 12:00:00+00:00,Fields Delivering into SEGAL,12.7,133.985
2024-03-02 12:00:00+00:00,Fields Delivering into SEGAL,12.7,133.985
2024-03-03 12:00:00+00:00,Fields Delivering into SEGAL,12.7,133.985
2024-03-04 12:00:00+00:00,Fields Delivering into SEGAL,12.7,133.985
2024-03-05 12:00:00+00:00,Fields Delivering into SEGAL,19.3,203.615
2024-03-06 12:00:00+00:00,Fields Delivering into SEGAL,12.9,136.095
2024-03-07 12:00:00+00:00,Fields Delivering into SEGAL,12.9,136.095
