name,code,url,updatedAt,gasDayStart,gasDayEnd,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,contractedCapacity,availableCapacity,coveredCapacity,status,trend,full,info,country_code
Austria,AT,AT,2025-06-11 13:30:03,2025-06-01 00:00:00+00:00,2025-06-02,54.5465,78.2,69.75,513.28,0.0,-513.3,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.51,54.39,,AT
Austria,AT,AT,2025-06-11 13:30:27,2025-06-02 00:00:00+00:00,2025-06-03,54.9299,78.2,70.24,383.45,0.0,-383.5,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.38,54.78,,AT
Austria,AT,AT,2025-06-11 13:30:42,2025-06-03 00:00:00+00:00,2025-06-04,55.2496,78.2,70.65,342.96,23.3,-319.7,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.32,55.1,,AT
Austria,AT,AT,2025-06-11 13:30:38,2025-06-04 00:00:00+00:00,2025-06-05,55.518,78.2,70.99,272.23,3.8,-268.4,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.27,55.36,,AT
Austria,AT,AT,2025-06-11 13:30:40,2025-06-05 00:00:00+00:00,2025-06-06,55.7062,78.2,71.24,206.4,18.2,-188.2,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.19,55.55,,AT
Austria,AT,AT,2025-06-11 13:30:36,2025-06-06 00:00:00+00:00,2025-06-07,55.9839,78.2,71.59,301.63,23.9,-277.7,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.28,55.83,,AT
Austria,AT,AT,2025-06-11 13:30:34,2025-06-07 00:00:00+00:00,2025-06-08,56.4834,78.2,72.23,499.53,0.0,-499.5,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.5,56.33,,AT
Austria,AT,AT,2025-06-11 13:30:46,2025-06-08 00:00:00+00:00,2025-06-09,56.9846,78.2,72.87,501.16,0.0,-501.2,100.2789,863.6,1083.51,99.0543,1.295,-,C,0.5,56.83,,AT
Austria,AT,AT,2025-06-11 13:30:48,2025-06-09 00:00:00+00:00,2025-06-10,57.4451,78.2,73.46,460.58,0.0,-460.6,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.46,57.29,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-10 00:00:00+00:00,2025-06-11,57.8647,78.2,74.0,419.54,0.0,-419.5,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.42,57.7,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-11 00:00:00+00:00,2025-06-12,58.1687,78.2,74.38,303.97,0.0,-304.0,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.3,58.01,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-12 00:00:00+00:00,2025-06-13,58.5239,78.2,74.84,355.44,0.0,-355.4,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.35,58.36,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-13 00:00:00+00:00,2025-06-14,58.8657,78.2,75.28,341.82,0.0,-341.8,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.34,58.7,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-14 00:00:00+00:00,2025-06-15,59.2715,78.2,75.79,405.77,0.0,-405.8,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.4,59.11,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-15 00:00:00+00:00,2025-06-16,59.6548,78.2,76.28,383.33,0.0,-383.3,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.38,59.49,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-16 00:00:00+00:00,2025-06-17,60.0277,78.2,76.76,372.94,0.0,-372.9,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.37,59.86,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-17 00:00:00+00:00,2025-06-18,60.2996,78.2,77.11,271.91,0.0,-271.9,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.27,60.13,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-18 00:00:00+00:00,2025-06-19,60.5934,78.2,77.49,293.8,0.0,-293.8,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.29,60.42,,AT
Austria,AT,AT,2025-06-20 16:05:15,2025-06-19 00:00:00+00:00,2025-06-20,60.8916,78.2,77.87,298.16,0.0,-298.2,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.3,60.72,,AT
Austria,AT,AT,2025-06-21 16:05:24,2025-06-20 00:00:00+00:00,2025-06-21,61.2262,78.2,78.29,334.58,0.0,-334.6,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.33,61.06,,AT
Austria,AT,AT,2025-06-22 16:10:04,2025-06-21 00:00:00+00:00,2025-06-22,61.648,78.2,78.83,421.81,0.0,-421.8,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.42,61.48,,AT
Austria,AT,AT,2025-06-24 07:30:36,2025-06-22 00:00:00+00:00,2025-06-23,62.077,78.2,79.38,429.04,0.0,-429.0,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.43,61.9,,AT
Austria,AT,AT,2025-06-24 16:05:16,2025-06-23 00:00:00+00:00,2025-06-24,62.4775,78.2,79.89,400.5,0.0,-400.5,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.4,62.3,,AT
Austria,AT,AT,2025-06-25 16:05:08,2025-06-24 00:00:00+00:00,2025-06-25,62.8366,78.2,80.35,359.08,0.0,-359.1,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.36,62.66,,AT
Austria,AT,AT,2025-06-26 16:05:08,2025-06-25 00:00:00+00:00,2025-06-26,63.0572,78.2,80.64,220.97,0.3,-220.6,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.22,62.88,,AT
Austria,AT,AT,2025-06-27 16:05:13,2025-06-26 00:00:00+00:00,2025-06-27,63.3108,78.2,80.96,253.53,0.0,-253.5,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.25,63.13,,AT
Austria,AT,AT,2025-06-28 16:05:41,2025-06-27 00:00:00+00:00,2025-06-28,63.6184,78.2,81.35,307.61,0.0,-307.6,100.2789,863.6,1083.51,101.2963,0.4858,-,C,0.31,63.44,,AT
