date,country,value_GWh
2024-01-07 23:00:00+00:00,AL,950.0
2024-01-14 23:00:00+00:00,AL,960.0
2024-01-21 23:00:00+00:00,AL,1142.0
2024-01-28 23:00:00+00:00,AL,1136.0
2024-02-04 23:00:00+00:00,AL,1088.0
2024-02-11 23:00:00+00:00,AL,1084.0
2024-02-18 23:00:00+00:00,AL,1050.0
2024-02-25 23:00:00+00:00,AL,1025.0
2024-03-03 23:00:00+00:00,AL,1030.0
2024-03-10 23:00:00+00:00,AL,1068.0
2024-03-17 23:00:00+00:00,AL,1088.0
2024-03-24 23:00:00+00:00,AL,1124.0
2024-03-31 23:00:00+00:00,AL,1243.0
2024-04-07 23:00:00+00:00,AL,1272.0
2024-04-14 23:00:00+00:00,AL,1280.0
2024-04-21 23:00:00+00:00,AL,1393.0
2024-04-28 23:00:00+00:00,AL,1457.0
2024-05-05 23:00:00+00:00,AL,1496.0
2024-05-12 23:00:00+00:00,AL,1498.0
2024-05-19 23:00:00+00:00,AL,1516.0
2024-05-26 23:00:00+00:00,AL,1508.0
2024-06-02 23:00:00+00:00,AL,1500.0
2024-06-09 23:00:00+00:00,AL,1445.0
2024-06-16 23:00:00+00:00,AL,1426.0
2024-06-23 23:00:00+00:00,AL,1362.0
2024-06-30 23:00:00+00:00,AL,1342.0
2024-07-07 23:00:00+00:00,AL,1291.0
2024-07-14 23:00:00+00:00,AL,1174.0
2024-07-21 23:00:00+00:00,AL,1056.0
2024-07-28 23:00:00+00:00,AL,1003.0
2024-08-04 23:00:00+00:00,AL,927.0
2024-08-11 23:00:00+00:00,AL,831.0
2024-08-18 23:00:00+00:00,AL,779.0
2024-12-29 23:00:00+00:00,AL,468.0
2025-01-05 23:00:00+00:00,AL,534.0
2025-01-12 23:00:00+00:00,AL,599.0
2025-01-19 23:00:00+00:00,AL,586.0
2025-01-26 23:00:00+00:00,AL,608.0
2025-02-02 23:00:00+00:00,AL,651.0
2025-02-09 23:00:00+00:00,AL,585.0
2025-02-16 23:00:00+00:00,AL,550.0
2025-02-23 23:00:00+00:00,AL,471.0
2025-03-02 23:00:00+00:00,AL,430.0
2025-03-09 23:00:00+00:00,AL,404.0
2025-03-16 23:00:00+00:00,AL,453.0
2025-03-23 23:00:00+00:00,AL,512.0
2025-03-30 23:00:00+00:00,AL,656.0
2025-04-06 23:00:00+00:00,AL,684.0
2025-04-13 23:00:00+00:00,AL,704.0
2025-04-20 23:00:00+00:00,AL,757.0
2025-04-27 23:00:00+00:00,AL,817.0
2025-05-04 23:00:00+00:00,AL,835.0
2025-05-11 23:00:00+00:00,AL,824.0
2025-05-18 23:00:00+00:00,AL,836.0
2025-05-25 23:00:00+00:00,AL,857.0
2025-06-01 23:00:00+00:00,AL,847.0
2025-06-08 23:00:00+00:00,AL,835.0
2025-06-15 23:00:00+00:00,AL,815.0
2025-06-22 23:00:00+00:00,AL,795.0
2025-06-29 23:00:00+00:00,AL,757.0
2025-07-06 23:00:00+00:00,AL,725.0
