date,country,value_GWh
2026-02-01 22:00:00+00:00,BG,1681.43744
2026-02-01 22:00:00+00:00,GR,2629.36
2026-02-01 22:00:00+00:00,LT,0.35438
2026-02-01 22:00:00+00:00,LV,4.836
2026-02-01 22:00:00+00:00,RO,1814.9
2026-02-01 23:00:00+00:00,AL,1205.0
2026-02-01 23:00:00+00:00,AT,858.8678000000001
2026-02-01 23:00:00+00:00,CH,3067.0
2026-02-01 23:00:00+00:00,ES,12132.885
2026-02-01 23:00:00+00:00,FI,2777.27
2026-02-01 23:00:00+00:00,FR,1302.691
2026-02-01 23:00:00+00:00,HR,975.77
2026-02-01 23:00:00+00:00,IT,2092.766
2026-02-01 23:00:00+00:00,ME,385.328
2026-02-01 23:00:00+00:00,MK,170.977
2026-02-01 23:00:00+00:00,NO,44790.954
2026-02-01 23:00:00+00:00,RS,423.0
2026-02-01 23:00:00+00:00,SE,15955.0
2026-02-01 23:00:00+00:00,SI,2.6
2026-02-02 00:00:00+00:00,PT,2765.386
2026-02-08 22:00:00+00:00,BG,1702.22656
2026-02-08 22:00:00+00:00,GR,2757.57
2026-02-08 22:00:00+00:00,LT,0.35438
2026-02-08 22:00:00+00:00,LV,4.682
2026-02-08 22:00:00+00:00,RO,1791.5
2026-02-08 23:00:00+00:00,AL,1316.0
2026-02-08 23:00:00+00:00,AT,813.1303
2026-02-08 23:00:00+00:00,CH,2805.0
2026-02-08 23:00:00+00:00,ES,13980.946
2026-02-08 23:00:00+00:00,FI,2571.49
2026-02-08 23:00:00+00:00,FR,1368.973
2026-02-08 23:00:00+00:00,HR,998.25
2026-02-08 23:00:00+00:00,IT,2174.01
2026-02-08 23:00:00+00:00,ME,379.859
2026-02-08 23:00:00+00:00,MK,170.977
2026-02-08 23:00:00+00:00,NO,41713.112
2026-02-08 23:00:00+00:00,RS,427.0
2026-02-08 23:00:00+00:00,SE,14450.0
2026-02-08 23:00:00+00:00,SI,2.6
2026-02-09 00:00:00+00:00,PT,2944.243
2026-02-15 22:00:00+00:00,BG,1791.2383200000002
2026-02-15 22:00:00+00:00,GR,2940.674
2026-02-15 22:00:00+00:00,LT,0.35438
2026-02-15 22:00:00+00:00,LV,4.746
2026-02-15 22:00:00+00:00,RO,1772.7
2026-02-15 23:00:00+00:00,AL,1373.0
2026-02-15 23:00:00+00:00,AT,764.5319300000001
2026-02-15 23:00:00+00:00,CH,2592.0
2026-02-15 23:00:00+00:00,ES,15051.09
2026-02-15 23:00:00+00:00,FI,2409.87
2026-02-15 23:00:00+00:00,FR,1427.772
2026-02-15 23:00:00+00:00,HR,1020.43
2026-02-15 23:00:00+00:00,IT,2147.537
2026-02-15 23:00:00+00:00,ME,381.85
2026-02-15 23:00:00+00:00,NO,39061.736
2026-02-15 23:00:00+00:00,RS,414.0
2026-02-15 23:00:00+00:00,SE,13083.0
2026-02-15 23:00:00+00:00,SI,2.6
2026-02-16 00:00:00+00:00,PT,3062.886
2026-02-22 22:00:00+00:00,BG,1760.90585
2026-02-22 22:00:00+00:00,GR,2941.231
2026-02-22 22:00:00+00:00,LT,0.35438
2026-02-22 22:00:00+00:00,LV,4.967
2026-02-22 22:00:00+00:00,RO,1754.3
2026-02-22 23:00:00+00:00,AL,1344.0
2026-02-22 23:00:00+00:00,AT,731.99987
2026-02-22 23:00:00+00:00,CH,2329.0
2026-02-22 23:00:00+00:00,ES,15376.606
2026-02-22 23:00:00+00:00,FI,2261.28
2026-02-22 23:00:00+00:00,FR,1430.316
2026-02-22 23:00:00+00:00,HR,1017.78
2026-02-22 23:00:00+00:00,IT,2046.444
2026-02-22 23:00:00+00:00,ME,380.136
2026-02-22 23:00:00+00:00,MK,255.763
2026-02-22 23:00:00+00:00,NO,37042.323
2026-02-22 23:00:00+00:00,RS,437.0
2026-02-22 23:00:00+00:00,SE,11733.0
2026-02-22 23:00:00+00:00,SI,2.6
2026-02-23 00:00:00+00:00,PT,3088.829
