name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2012-01-01,,,22.3,,472.1,,,,,C,BE,1307.47,2775.06,47.1
Belgium,,,,2012-01-02,,,87.4,,472.1,,,,,C,BE,2153.47,2498.21,86.2
Belgium,,,,2012-01-03,,,160.6,,472.1,,,,,C,BE,1984.81,2853.51,69.6
Belgium,,,,2012-01-04,,,244.3,,472.1,,,,,C,BE,1734.43,3214.37,54.0
Belgium,,,,2012-01-05,,,196.3,,472.1,,,,,C,BE,1535.68,3257.85,47.1
Belgium,,,,2012-01-06,,,109.3,,472.1,,,,,C,BE,1793.53,2956.14,60.7
Belgium,,,,2012-01-07,,,111.3,,472.1,,,,,C,BE,2205.93,2662.15,82.9
Belgium,,,,2012-01-08,,,109.2,,472.1,,,,,C,BE,2092.59,2664.78,78.5
Belgium,,,,2012-01-09,,,86.2,,472.1,,,,,C,BE,1999.08,3026.67,66.0
Belgium,,,,2012-01-10,,,45.6,,472.1,,,,,C,BE,1955.9,3370.59,58.0
Belgium,,,,2012-01-11,,,79.3,,472.1,,,,,C,BE,1872.7,2726.09,68.7
Belgium,,,,2012-01-12,,,125.5,,472.1,,,,,C,BE,1743.6,3049.66,57.2
Belgium,,,,2012-01-13,,,190.0,,472.1,,,,,C,BE,1558.32,3111.5,50.1
Belgium,,,,2012-01-14,,,113.5,,472.1,,,,,C,BE,2359.52,2779.34,84.9
Belgium,,,,2012-01-15,,,92.2,,472.1,,,,,C,BE,2274.49,2840.93,80.1
Belgium,,,,2012-01-16,,,196.5,,472.1,,,,,C,BE,1420.82,2552.43,55.7
Belgium,,,,2012-01-17,,,177.7,,472.1,,,,,C,BE,1038.7,2913.81,35.6
Belgium,,,,2012-01-18,,,150.1,,472.1,,,,,C,BE,880.38,2951.25,29.8
Belgium,,,,2012-01-19,,,92.3,,472.1,,,,,C,BE,786.66,2930.69,26.8
Belgium,,,,2012-01-20,,,78.3,,472.1,,,,,C,BE,705.13,2930.68,24.1
Belgium,,,,2012-01-21,,,39.7,,472.1,,,,,C,BE,664.8,2971.19,22.4
Belgium,,,,2012-01-22,,,31.9,,472.1,,,,,C,BE,622.44,2498.85,24.9
Belgium,,,,2012-01-23,,,142.3,,472.1,,,,,C,BE,451.31,2500.22,18.1
Belgium,,,,2012-01-24,,,159.5,,472.1,,,,,C,BE,1228.0,2494.96,49.2
Belgium,,,,2012-01-25,,,100.5,,472.1,,,,,C,BE,1156.29,2495.11,46.3
Belgium,,,,2012-01-26,,,60.2,,472.1,,,,,C,BE,1246.34,2495.75,49.9
Belgium,,,,2012-01-27,,,220.7,,472.1,,,,,C,BE,1818.8,2497.27,72.8
Belgium,,,,2012-01-28,,,94.6,,472.1,,,,,C,BE,1720.74,2546.65,67.6
Belgium,,,,2012-01-29,,,120.2,,472.1,,,,,C,BE,2036.32,2497.08,81.5
Belgium,,,,2012-01-30,,,205.2,,472.1,,,,,C,BE,2235.94,2496.69,89.6
Belgium,,,,2012-01-31,,,116.4,,472.1,,,,,C,BE,2121.03,2699.95,78.6
Belgium,,,,2012-02-01,,,257.4,,472.1,,,,,C,BE,1629.92,2494.84,65.3
Belgium,,,,2012-02-02,,,286.4,,472.1,,,,,C,BE,697.77,2534.32,27.5
Belgium,,,,2012-02-03,,,294.1,,472.1,,,,,C,BE,321.32,2509.76,12.8
Belgium,,,,2012-02-04,,,113.8,,472.1,,,,,C,BE,1142.6,2494.35,45.8
Belgium,,,,2012-02-05,,,59.8,,472.1,,,,,C,BE,1073.94,2494.59,43.1
Belgium,,,,2012-02-06,,,232.5,,472.1,,,,,C,BE,1206.13,2553.11,47.2
Belgium,,,,2012-02-07,,,243.8,,472.1,,,,,C,BE,1506.89,2513.51,60.0
Belgium,,,,2012-02-08,,,271.9,,472.1,,,,,C,BE,1262.04,2496.05,50.6
Belgium,,,,2012-02-09,,,203.2,,472.1,,,,,C,BE,1036.03,2495.98,41.5
Belgium,,,,2012-02-10,,,226.6,,472.1,,,,,C,BE,786.46,2496.06,31.5
Belgium,,,,2012-02-11,,,123.2,,472.1,,,,,C,BE,658.65,2496.05,26.4
Belgium,,,,2012-02-12,,,41.8,,472.1,,,,,C,BE,614.73,2496.03,24.6
Belgium,,,,2012-02-13,,,47.4,,472.1,,,,,C,BE,565.75,2496.35,22.7
Belgium,,,,2012-02-14,,,22.5,,472.1,,,,,C,BE,542.88,2518.62,21.6
Belgium,,,,2012-02-15,,,60.5,,472.1,,,,,C,BE,1261.7,2497.49,50.5
Belgium,,,,2012-02-16,,,51.7,,472.1,,,,,C,BE,1366.99,2556.4,53.5
Belgium,,,,2012-02-17,,,61.0,,472.1,,,,,C,BE,1116.02,2497.7,44.7
