name,code,url,updatedAt,gasDayStart,gasDayEnd,inventory,sendOut,dtmi,dtrs,contractedCapacity,availableCapacity,coveredCapacity,info,status,country_code,inventory_gwh,dtmi_gwh,full_pct
Belgium,,,,2022-12-01 00:00:00+00:00,,,339.5,,541.0,,,,,C,BE,2478.41,3806.63,65.1
Germany,,,,2022-12-01 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2022-12-01 00:00:00+00:00,,,1044.2,,1910.4,,,,,C,ES,18478.01,22801.62,81.0
EU,,,,2022-12-01 00:00:00+00:00,,,4044.2,,5950.0,,,,,C,EU,34979.08,51612.6,67.8
Finland,,,,2022-12-01 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2022-12-01 00:00:00+00:00,,,1011.2,,1277.7,,,,,C,FR,5795.43,8873.36,65.3
Greece,,,,2022-12-01 00:00:00+00:00,,,166.6,,269.9,,,,,C,GR,1038.48,1508.88,68.8
Croatia,,,,2022-12-01 00:00:00+00:00,,,80.7,,85.5,,,,,C,HR,329.9,902.07,36.6
Italy,,,,2022-12-01 00:00:00+00:00,,,464.6,,560.2,,,,,C,IT,861.21,3085.64,27.9
Lithuania,,,,2022-12-01 00:00:00+00:00,,,79.7,,122.4,,,,,C,LT,291.73,1130.9,25.8
Netherlands,,,,2022-12-01 00:00:00+00:00,,,499.8,,762.9,,,,,C,NL,2994.58,4605.48,65.0
Poland,,,,2022-12-01 00:00:00+00:00,,,220.0,,220.0,,,,,C,PL,1055.81,2108.19,50.1
Portugal,,,,2022-12-01 00:00:00+00:00,,,137.9,,200.0,,,,,C,PT,1655.52,2666.0,62.1
EU,eu,eu,2025-10-23 10:17:57,2022-12-01 00:00:00+00:00,2022-12-02,"{'lng': '5260.22', 'gwh': '34979.08'}",4044.2,,5950.0,-,-,-,[],C,,,,
Belgium,,,,2022-12-02 00:00:00+00:00,,,268.6,,541.0,,,,,C,BE,2831.47,3798.47,74.5
Germany,,,,2022-12-02 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2022-12-02 00:00:00+00:00,,,1217.0,,1910.4,,,,,C,ES,16527.24,22791.0,72.5
EU,,,,2022-12-02 00:00:00+00:00,,,4232.6,,5950.0,,,,,E,EU,35694.53,52375.63,68.2
Finland,,,,2022-12-02 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2022-12-02 00:00:00+00:00,,,1097.1,,1277.7,,,,,C,FR,5725.72,8884.8,64.4
Greece,,,,2022-12-02 00:00:00+00:00,,,158.3,,269.9,,,,,C,GR,1658.51,2400.68,69.1
Croatia,,,,2022-12-02 00:00:00+00:00,,,80.7,,85.5,,,,,C,HR,250.7,902.26,27.8
Italy,,,,2022-12-02 00:00:00+00:00,,,471.1,,560.2,,,,,E,IT,2241.72,3019.01,74.3
Lithuania,,,,2022-12-02 00:00:00+00:00,,,79.7,,122.4,,,,,C,LT,442.01,1106.72,39.9
Netherlands,,,,2022-12-02 00:00:00+00:00,,,499.8,,762.9,,,,,C,NL,2485.61,4592.14,54.1
Poland,,,,2022-12-02 00:00:00+00:00,,,220.0,,220.0,,,,,C,PL,956.52,2106.15,45.4
Portugal,,,,2022-12-02 00:00:00+00:00,,,140.4,,200.0,,,,,C,PT,2575.04,2666.03,96.6
EU,eu,eu,2025-10-23 10:17:57,2022-12-02 00:00:00+00:00,2022-12-03,"{'lng': '5289.61', 'gwh': '35694.53'}",4232.6,,5950.0,-,-,-,[],E,,,,
Belgium,,,,2022-12-03 00:00:00+00:00,,,355.5,,541.0,,,,,C,BE,2148.86,3817.26,56.3
Germany,,,,2022-12-03 00:00:00+00:00,,,,,,,,,,N,DE,,,
Spain,,,,2022-12-03 00:00:00+00:00,,,1030.3,,1910.4,,,,,C,ES,14768.24,22773.45,64.8
EU,,,,2022-12-03 00:00:00+00:00,,,4306.7,,5950.0,,,,,C,EU,33351.35,52742.54,63.2
Finland,,,,2022-12-03 00:00:00+00:00,,,,,,,,,,N,FI,,,
France,,,,2022-12-03 00:00:00+00:00,,,1300.4,,1277.7,,,,,C,FR,6711.8,8880.58,75.6
Greece,,,,2022-12-03 00:00:00+00:00,,,131.0,,269.9,,,,,C,GR,1661.37,2614.81,63.5
Croatia,,,,2022-12-03 00:00:00+00:00,,,80.7,,85.5,,,,,C,HR,171.1,900.53,19.0
Italy,,,,2022-12-03 00:00:00+00:00,,,470.6,,560.2,,,,,C,IT,2040.89,3026.33,67.4
Lithuania,,,,2022-12-03 00:00:00+00:00,,,81.9,,122.4,,,,,C,LT,753.65,1106.81,68.1
Netherlands,,,,2022-12-03 00:00:00+00:00,,,499.8,,762.9,,,,,C,NL,1965.68,4874.48,40.3
