gasDayStart,country_code,name,inventory_gwh,dtmi_gwh,full_pct,sendOut,dtrs,contractedCapacity,availableCapacity,status
2026-09-01 00:00:00+00:00,BE,Belgium,2113.78,3782.48,55.9,217.2,724.1,724.08,0.0,C
2026-09-01 00:00:00+00:00,DE,Germany,2170.86,5202.48,41.7,284.2,844.0,585.45,258.5,C
2026-09-01 00:00:00+00:00,ES,Spain,13068.91,23851.05,54.8,275.6,2132.3,,,E
2026-09-01 00:00:00+00:00,EU,EU,32911.61,62784.41,52.4,3601.7,7935.8,4730.9736,727.7533,E
2026-09-01 00:00:00+00:00,FI,Finland,183.0,1008.6,18.1,13.0,140.0,0.0,140.0,C
2026-09-01 00:00:00+00:00,FR,France,4572.37,8925.43,51.2,682.6,1251.7,973.1723,25.0,C
2026-09-01 00:00:00+00:00,GR,Greece,1846.75,2413.98,76.5,81.7,406.2,327.328,78.8404,C
2026-09-01 00:00:00+00:00,HR,Croatia,603.5,900.75,67.0,84.4,102.4,84.4,18.0,C
2026-09-01 00:00:00+00:00,IT,Italy,2545.5,5090.6,50.0,682.6,889.8,720.6561,169.0992,C
2026-09-01 00:00:00+00:00,LT,Lithuania,345.03,1090.35,31.6,89.1,116.9,97.9573,18.8977,C
2026-09-01 00:00:00+00:00,NL,Netherlands,2361.83,4518.88,52.3,792.5,864.7,773.3899,0.0,C
2026-09-01 00:00:00+00:00,PL,Poland,1623.39,3276.13,49.6,245.0,264.0,253.908,10.048,C
2026-09-01 00:00:00+00:00,PT,Portugal,1476.69,2666.0,55.4,153.7,200.0,190.632,9.368,C
2026-09-02 00:00:00+00:00,BE,Belgium,2409.71,3762.78,64.0,304.1,724.1,724.08,0.0,C
2026-09-02 00:00:00+00:00,DE,Germany,2011.24,5201.2,38.7,287.9,844.0,585.45,258.5,C
2026-09-02 00:00:00+00:00,ES,Spain,13068.91,23851.05,54.8,275.6,2132.3,,,E
2026-09-02 00:00:00+00:00,EU,EU,32107.97,62876.46,51.1,3772.5,7937.0,4951.9955,507.8911,E
2026-09-02 00:00:00+00:00,FI,Finland,52.0,773.81,6.7,0.0,140.0,17.0,123.0,C
2026-09-02 00:00:00+00:00,FR,France,4814.62,8934.74,53.9,700.8,1251.7,973.1723,25.0,C
2026-09-02 00:00:00+00:00,GR,Greece,1760.29,2414.81,72.9,85.1,406.2,327.328,78.8404,C
2026-09-02 00:00:00+00:00,HR,Croatia,520.1,901.16,57.7,84.4,102.4,84.4,18.0,C
2026-09-02 00:00:00+00:00,IT,Italy,2017.9,5076.49,39.7,742.7,889.8,745.2315,144.5238,C
2026-09-02 00:00:00+00:00,LT,Lithuania,253.69,1090.71,23.3,101.4,118.0,98.8863,19.1284,C
2026-09-02 00:00:00+00:00,NL,Netherlands,2525.25,4635.31,54.5,765.2,864.7,947.7221,-174.3322,C
2026-09-02 00:00:00+00:00,PL,Poland,1359.88,3279.19,41.5,250.0,264.0,253.908,10.048,C
2026-09-02 00:00:00+00:00,PT,Portugal,1314.37,2666.06,49.3,175.3,200.0,194.8173,5.1827,C
2026-09-03 00:00:00+00:00,BE,Belgium,2156.88,3760.8,57.4,275.5,724.1,724.08,0.0,C
2026-09-03 00:00:00+00:00,DE,Germany,2122.65,5198.93,40.8,297.0,844.0,585.45,258.5,C
2026-09-03 00:00:00+00:00,ES,Spain,13068.91,23851.05,54.8,275.6,2132.3,,,E
2026-09-03 00:00:00+00:00,EU,EU,30028.25,62872.84,47.8,3781.8,7939.6,4964.6514,497.8776,E
2026-09-03 00:00:00+00:00,FI,Finland,51.0,758.93,6.7,0.0,140.0,0.0,140.0,C
2026-09-03 00:00:00+00:00,FR,France,4138.77,8935.71,46.3,692.6,1251.7,973.1723,25.0,C
2026-09-03 00:00:00+00:00,GR,Greece,1671.6,2415.05,69.2,86.8,406.2,327.328,78.8404,C
2026-09-03 00:00:00+00:00,HR,Croatia,437.2,901.44,48.5,84.4,102.4,84.4,18.0,C
2026-09-03 00:00:00+00:00,IT,Italy,1661.38,5062.27,32.8,775.3,889.8,777.9987,111.7566,C
2026-09-03 00:00:00+00:00,LT,Lithuania,651.94,1116.34,58.4,102.9,120.7,99.2463,21.4108,C
2026-09-03 00:00:00+00:00,NL,Netherlands,1840.0,4508.0,40.8,764.4,864.7,947.7221,-174.3322,C
2026-09-03 00:00:00+00:00,PL,Poland,1099.31,3281.91,33.5,250.0,264.0,253.908,10.048,C
2026-09-03 00:00:00+00:00,PT,Portugal,1128.62,2666.03,42.3,177.3,200.0,191.346,8.654,C
2026-09-04 00:00:00+00:00,BE,Belgium,1922.15,3759.02,51.1,261.4,724.1,724.08,0.0,C
2026-09-04 00:00:00+00:00,DE,Germany,2252.64,5195.08,43.4,288.6,844.0,585.45,258.5,C
2026-09-04 00:00:00+00:00,ES,Spain,13068.91,23851.05,54.8,275.6,2132.3,,,E
2026-09-04 00:00:00+00:00,EU,EU,31818.68,62722.49,50.7,3780.0,7939.5,4978.6024,483.8629,E
2026-09-04 00:00:00+00:00,FI,Finland,50.0,744.05,6.7,0.0,140.0,0.0,140.0,C
2026-09-04 00:00:00+00:00,FR,France,3779.91,8940.59,42.3,751.9,1251.7,973.1723,25.0,C
2026-09-04 00:00:00+00:00,GR,Greece,1609.1,2415.34,66.6,60.3,406.2,327.328,78.8404,C
2026-09-04 00:00:00+00:00,HR,Croatia,352.8,901.31,39.1,84.4,102.4,84.4,18.0,C
2026-09-04 00:00:00+00:00,IT,Italy,3597.87,5116.34,70.3,792.6,889.8,793.9987,95.7566,C
2026-09-04 00:00:00+00:00,LT,Lithuania,950.4,1115.84,85.2,101.2,120.6,98.3113,22.2821,C
2026-09-04 00:00:00+00:00,NL,Netherlands,2445.34,4454.0,54.9,740.1,864.7,947.7221,-174.3322,C
2026-09-04 00:00:00+00:00,PL,Poland,846.85,3287.72,25.8,245.0,264.0,253.908,10.048,C
2026-09-04 00:00:00+00:00,PT,Portugal,942.71,2666.11,35.4,178.8,200.0,190.232,9.768,C
2026-09-05 00:00:00+00:00,BE,Belgium,1636.97,3755.67,43.6,291.5,724.1,724.08,0.0,C
